time,velocity_r3, angular_vel_r3,num_detections3,num_inliers3,average_range3,velocity_r4,angular_vel_r4,num_detections4,num_inliers4,average_range4,combined_velocity,combined_angular_vel,x,y
3362712.0,2.0643764436910614,-18.429840623582443,23.0,21.0,10.645652173913044,2.863268869997812,-12.19530061438702,11.0,10.0,12.69090909090909,2.463822656844437,14.544158220561016,-18.456735865322617,107.48594778824398
3362762.0,2.027139492216636,-16.768529035874568,21.0,20.0,12.071428571428571,3.0052320363768223,-18.135732285622176,10.0,9.0,10.135000000000002,2.516185764296729,14.454310965905107,-18.476067782698223,107.36666044765143
3362812.0,1.87082448692922,-18.53319119387369,21.0,20.0,9.969047619047618,3.0230746690823773,-16.00085237789489,11.0,8.0,13.690909090909093,2.446949578005799,14.195034527743962,-18.4937010474396,107.2483658420574
3362862.0,2.074626616696758,-12.291380225367215,19.0,18.0,10.536842105263156,3.0044459751653783,-17.490945772987587,9.0,8.0,14.25,2.539536295931068,14.156526853169034,-18.509645868132463,107.13128959800677
3362912.0,2.03944165937353,-10.806419536683343,25.0,24.0,8.888,2.7875172108370823,-18.169824803771384,11.0,8.0,14.536363636363633,2.413479435105306,13.833762824973618,-18.523915390793185,107.01583581319304
3362962.0,1.8315539273037655,-16.750836509090504,20.0,19.0,11.2875,2.576380289866526,-6.082227533280282,7.0,2.0,9.342857142857143,2.2039671085851458,13.949644201918558,-18.536528203886782,106.90227947642188
3363012.0,1.945265695521805,-8.258172457369925,18.0,16.0,9.780555555555557,2.609572634438607,-10.679600915613744,9.0,7.0,13.011111111111111,2.277419164980206,13.37065775729921,-18.54757331403608,106.79056101914964
3363062.0,1.981247136607727,-9.153988890682845,24.0,21.0,10.03125,2.8186730795401407,-16.76411043557543,12.0,8.0,15.295833333333333,2.399960108073934,13.071729092644693,-18.557122818900346,106.68027355762992
3363112.0,1.8390981778071382,-7.99832312273378,24.0,22.0,11.158333333333333,2.6269069580401947,-9.08742795262867,12.0,11.0,16.645833333333336,2.2330025679236662,12.707748387226497,-18.56524202911705,106.5717905545737
3363162.0,1.7941326435853688,-8.587182757338836,23.0,4.0,10.445652173913043,2.5022333522598945,-10.740719792270383,12.0,9.0,13.241666666666669,2.148182997922632,12.41745096488172,-18.571993772589334,106.46526477524863
3363212.0,1.662931040249143,-11.83445310085242,23.0,22.0,9.141304347826086,1.94006624165544,0.7126516515040852,7.0,6.0,8.785714285714286,1.8014986409522915,12.169466731972951,-18.577467417880023,106.36051508200093
3363262.0,1.6066248806147998,-10.713715092229531,21.0,19.0,10.502380952380951,2.388026882808137,-18.17870253496002,17.0,2.0,13.78823529411765,1.9973258817114683,11.867094730238865,-18.58169740168064,106.25832770996323
3363312.0,1.47525591055968,-14.139098510680206,17.0,3.0,9.788235294117648,2.195467606535889,-8.66120005227771,14.0,13.0,13.935714285714285,1.8353617585477844,11.483049731634553,-18.584770508961114,106.15842371123277
3363362.0,1.4908328442691405,-11.334662088798225,24.0,23.0,9.889583333333333,2.074055372299185,-7.742651442400598,13.0,11.0,12.853846153846153,1.7824441082841627,11.24483129555353,-18.586759948245216,106.06089137881976
3363412.0,1.4080376243368935,-11.62205060943561,23.0,22.0,11.067391304347826,2.0636093056227702,-9.005078682596858,15.0,14.0,11.540000000000001,1.7358234649798319,10.854346896935649,-18.58774182747472,105.96624725299274
3363462.0,1.3142901675382421,-17.996395944692804,24.0,23.0,9.025,2.2513153071577854,-14.132999797570227,7.0,6.0,13.621428571428572,1.7828027373480138,10.627756760867403,-18.58779315179047,105.87477559983483
3363512.0,1.4474068506924829,-9.652454210899888,15.0,2.0,10.49,1.698800618303054,-0.911963495159134,9.0,2.0,12.450000000000001,1.5731037344977685,10.167669400486615,-18.587004331732825,105.78625697106493
3363562.0,1.4552461353957145,-9.608847825572523,17.0,2.0,11.62941176470588,nan,nan,nan,nan,nan,1.4552461353957145,9.6810626637191,-18.58545128514947,105.70086647728411
3363612.0,1.3977501460951949,-8.773341847412347,16.0,15.0,10.46875,1.6280289125915857,-0.7866750732532833,10.0,5.0,13.389999999999997,1.5128895293433904,9.427250544080916,-18.58321790349385,105.61834774616713
3363662.0,1.3347046754648662,-9.978915649108076,23.0,21.0,12.15,1.7270275853037036,-6.637315519877753,7.0,2.0,10.871428571428572,1.5308661303842848,8.833501793655575,-18.58040793794099,105.53924234691178
3363712.0,1.2514223426494482,-7.572709891691442,19.0,13.0,10.9,1.7385351088398426,-6.274498348530076,6.0,2.0,10.35,1.4949787257446454,8.620603440373037,-18.577069820335364,105.46296273162741
3363762.0,1.2196310201582292,-10.525554800488147,19.0,18.0,12.802631578947368,1.7465218166641063,-7.739770452958321,9.0,8.0,14.122222222222222,1.4830764184111678,8.310133157903367,-18.573305204632405,105.38984607869227
3363812.0,1.2231279154694519,-6.94568484402878,18.0,2.0,11.252777777777778,1.8641638424743698,-15.06574778952891,10.0,2.0,13.790000000000001,1.543645878971911,8.077818476822001,-18.56916486362215,105.31971087397592
3363862.0,1.1640352484066605,-9.137517335775113,18.0,4.0,12.966666666666667,1.716940499487288,-10.872504087819621,9.0,8.0,14.0,1.4404878739469744,7.712744022406656,-18.56471039457665,105.25253868076646
