%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed
1575034229086878862,22815,3360460877000,vehicle_info_speed,2.68712496758
1575034229114715971,22816,3360470677000,vehicle_info_speed,2.68712496758
1575034229134636243,22817,3360480877000,vehicle_info_speed,2.70331263542
1575034229155032675,22818,3360491190000,vehicle_info_speed,2.70331263542
1575034229180256863,22819,3360501152000,vehicle_info_speed,2.70331263542
1575034229180266377,22820,3360510853000,vehicle_info_speed,2.70331263542
1575034229209831417,22821,3360522179000,vehicle_info_speed,2.70331263542
1575034229222248793,22822,3360530853000,vehicle_info_speed,2.70331263542
1575034229262354411,22823,3360541030000,vehicle_info_speed,2.70331263542
1575034229262414492,22824,3360551060000,vehicle_info_speed,2.70331263542
1575034229288230145,22825,3360560995000,vehicle_info_speed,2.70331263542
1575034229300750751,22826,3360571032000,vehicle_info_speed,2.70331263542
1575034229326871049,22827,3360581013000,vehicle_info_speed,2.70331263542
1575034229347049671,22828,3360591127000,vehicle_info_speed,2.70331263542
1575034229357481097,22829,3360601165000,vehicle_info_speed,2.70331263542
1575034229367402082,22830,3360610881000,vehicle_info_speed,2.70331263542
1575034229392542918,22831,3360621252000,vehicle_info_speed,2.70331263542
1575034229421316386,22832,3360631810000,vehicle_info_speed,2.70331263542
1575034229421323644,22833,3360641128000,vehicle_info_speed,2.70331263542
1575034229451318120,22834,3360651037000,vehicle_info_speed,2.70331263542
1575034229471567257,22835,3360661257000,vehicle_info_speed,2.70331263542
1575034229489105758,22836,3360671169000,vehicle_info_speed,2.70331263542
1575034229506304774,22837,3360681810000,vehicle_info_speed,2.71950006485
1575034229526441400,22838,3360693263000,vehicle_info_speed,2.71950006485
1575034229536202233,22839,3360702031000,vehicle_info_speed,2.71950006485
1575034229562170838,22840,3360711810000,vehicle_info_speed,2.71950006485
1575034229581715951,22841,3360721377000,vehicle_info_speed,2.71950006485
1575034229600317612,22842,3360731529000,vehicle_info_speed,2.71950006485
1575034229610978817,22843,3360741333000,vehicle_info_speed,2.71950006485
1575034229634861731,22844,3360752080000,vehicle_info_speed,2.71950006485
1575034229648706088,22845,3360761838000,vehicle_info_speed,2.73568749428
1575034229666232180,22846,3360771266000,vehicle_info_speed,2.73568749428
1575034229676965715,22847,3360781928000,vehicle_info_speed,2.73568749428
1575034229719152076,22848,3360792158000,vehicle_info_speed,2.73568749428
1575034229719164762,22849,3360801873000,vehicle_info_speed,2.73568749428
1575034229738749505,22850,3360811810000,vehicle_info_speed,2.73568749428
1575034229758735668,22851,3360821647000,vehicle_info_speed,2.73568749428
1575034229773379965,22852,3360831994000,vehicle_info_speed,2.71950006485
1575034229800922553,22853,3360842342000,vehicle_info_speed,2.71950006485
1575034229815752788,22854,3360852054000,vehicle_info_speed,2.73568749428
1575034229826105399,22855,3360861805000,vehicle_info_speed,2.73568749428
1575034229853181896,22856,3360871427000,vehicle_info_speed,2.73568749428
1575034229879248443,22857,3360881937000,vehicle_info_speed,2.73568749428
1575034229879267408,22858,3360891454000,vehicle_info_speed,2.73568749428
1575034229903376202,22859,3360901805000,vehicle_info_speed,2.73568749428
1575034229928486055,22860,3360911810000,vehicle_info_speed,2.73568749428
1575034229947022617,22861,3360922254000,vehicle_info_speed,2.73568749428
1575034229964509343,22862,3360931883000,vehicle_info_speed,2.73568749428
1575034229973156003,22863,3360942501000,vehicle_info_speed,2.73568749428
1575034229992672896,22864,3360952090000,vehicle_info_speed,2.73568749428
1575034230015671400,22865,3360961820000,vehicle_info_speed,2.73568749428
1575034230045369381,22866,3360972019000,vehicle_info_speed,2.73568749428
1575034230056862843,22867,3360981949000,vehicle_info_speed,2.73568749428
1575034230081637298,22868,3360992227000,vehicle_info_speed,2.73568749428
1575034230106822234,22869,3361001946000,vehicle_info_speed,2.73568749428
1575034230106926500,22870,3361011833000,vehicle_info_speed,2.73568749428
1575034230137134507,22871,3361022091000,vehicle_info_speed,2.73568749428
1575034230147019301,22872,3361031806000,vehicle_info_speed,2.73568749428
1575034230178219351,22873,3361042177000,vehicle_info_speed,2.73568749428
1575034230178316289,22874,3361051946000,vehicle_info_speed,2.73568749428
1575034230207661697,22875,3361062061000,vehicle_info_speed,2.73568749428
